ACT230, H
ACT240, H
ACT245, H
ACT247, H
ACT348, H
ACT349, H
ACT350, H
ACT370, H
ACT371, H
ACT372, H
ACT398, H
ACT398, Y
ACT451, H
ACT452, H
ACT455, H
ACT460, H
ACT466, H
ACT470, H
ACT471, H
ACT473, H
ACT475, H
ACT496, H
ACT497, H
ACT498, Y
ACT499, Y
ANA300, Y
ANA301, H
ANA400, H
ANA411, H
ANA498, Y
ANT100, Y
ANT200, Y
ANT203, Y
ANT204, H
ANT207, H
ANT208, H
ANT253, H
ANT299, Y
ANT311, Y
ANT311, Y
ANT314, H
ANT315, H
ANT316, H
ANT317, H
ANT318, H
ANT319, Y
ANT320, H
ANT322, H
ANT324, H
ANT327, H
ANT329, H
ANT330, Y
ANT333, Y
ANT334, H
ANT335, Y
ANT336, H
ANT338, H
ANT340, H
ANT341, H
ANT343, H
ANT345, H
ANT346, H
ANT347, H
ANT348, H
ANT349, H
ANT351, H
ANT356, H
ANT358, H
ANT362, H
ANT364, H
ANT366, H
ANT368, H
ANT370, H
ANT371, H
ANT372, H
ANT374, H
ANT376, H
ANT378, H
ANT380, H
ANT384, H
ANT386, H
ANT388, H
ANT390, H
ANT395, Y
ANT396, Y
ANT398, H
ANT398, Y
ANT406, H
ANT407, H
ANT409, H
ANT410, H
ANT411, H
ANT412, H
ANT415, Y
ANT416, H
ANT419, H
ANT420, H
ANT425, H
ANT426, H
ANT427, H
ANT430, H
ANT431, H
ANT432, H
ANT434, H
ANT435, H
ANT436, H
ANT437, H
ANT438, H
ANT440, H
ANT441, H
ANT445, H
ANT449, H
ANT450, H
ANT452, H
ANT455, H
ANT456, H
ANT457, H
ANT458, H
ANT460, H
ANT462, H
ANT468, H
ANT472, H
ANT473, H
ANT474, H
ANT475, H
ANT476, H
ANT477, H
ANT480, H
ANT481, H
ANT483, H
ANT484, H
ANT485, H
ANT486, H
ANT490, Y
ANT491, H
ANT491, Y
ANT497, Y
ANT498, H
ANT499, H
APM236, H
APM306, Y
APM346, H
APM396, H
APM421, H
APM426, H
APM441, H
APM446, H
APM461, H
APM462, H
APM466, H
APM496, H
ARH305, H
ARH306, Y
ARH309, H
ARH312, Y
ARH360, H
ARH361, H
ARH361, H
ARH361, Y
ARH361, Y
ARH398, H
ARH398, Y
ARH482, H
ARH494, H
ARH495, H
AST101, H
AST121, H
AST201, H
AST210, H
AST221, H
AST222, H
AST251, H
AST299, Y
AST320, H
AST325, H
AST326, Y
AST398, H
AST398, Y
AST399, Y
AST424, H
AST425, Y
AST430, H
AST431, H
AST431, Y
BCB330, Y
BCB410, H
BCB420, H
BCB430, Y
BCH210, H
BCH242, Y
BCH299, Y
BCH311, H
BCH340, H
BCH350, H
BCH370, H
BCH372, Y
BCH374, Y
BCH377, H
BCH378, H
BCH399, Y
BCH422, H
BCH425, H
BCH426, H
BCH427, H
BCH428, H
BCH440, H
BCH441, H
BCH444, H
BCH445, H
BCH446, H
BCH448, H
BCH449, H
BCH472, Y
BCH473, Y
BCH478, H
BCH479, H
BIO120, H
BIO130, H
BIO220, H
BIO230, H
BIO251, H
BIO255, H
BIO260, H
BIO270, H
BIO271, H
CAS200, H
CAS201, H
CAS202, H
CAS310, H
CAS320, H
CAS350, H
CAS360, H
CAS370, H
CAS390, H
CAS393, H
CAS393, Y
CAS400, H
CAS413, H
CAS414, H
CAS420, H
CAS430, H
CAS450, H
CAS490, H
CAS498, H
CAS498, Y
CDN202, H
CDN205, H
CDN218, H
CDN221, H
CDN225, H
CDN230, H
CDN240, H
CDN267, H
CDN268, H
CDN280, H
CDN305, H
CDN307, H
CDN335, H
CDN340, H
CDN355, H
CDN365, H
CDN367, H
CDN368, H
CDN380, H
CDN390, H
CDN395, H
CDN405, H
CDN406, H
CDN420, Y
CDN425, H
CDN430, Y
CDN435, Y
CHM101, H
CHM135, H
CHM136, H
CHM151, Y
CHM209, H
CHM210, H
CHM217, H
CHM220, H
CHM222, H
CHM223, H
CHM238, Y
CHM247, H
CHM249, H
CHM299, Y
CHM310, H
CHM317, H
CHM325, H
CHM326, H
CHM327, H
CHM328, H
CHM338, H
CHM342, H
CHM343, H
CHM347, H
CHM348, H
CHM379, H
CHM396, Y
CHM397, H
CHM398, H
CHM398, Y
CHM410, H
CHM414, H
CHM415, H
CHM416, H
CHM417, H
CHM423, H
CHM426, H
CHM427, H
CHM432, H
CHM434, H
CHM437, H
CHM440, H
CHM441, H
CHM443, H
CHM446, H
CHM447, H
CHM479, H
CHM499, Y
CIN105, Y
CIN201, Y
CIN210, H
CIN211, H
CIN212, H
CIN213, H
CIN214, H
CIN230, H
CIN240, H
CIN250, Y
CIN260, H
CIN270, Y
CIN301, Y
CIN310, Y
CIN312, Y
CIN314, Y
CIN320, H
CIN322, H
CIN330, Y
CIN332, Y
CIN334, H
CIN335, H
CIN340, H
CIN349, H
CIN352, H
CIN353, H
CIN360, H
CIN362, H
CIN363, H
CIN364, H
CIN369, H
CIN370, H
CIN371, H
CIN372, Y
CIN374, Y
CIN376, Y
CIN378, H
CIN378, Y
CIN379, H
CIN380, H
CIN410, H
CIN411, H
CIN412, H
CIN420, H
CIN430, H
CIN431, H
CIN432, H
CIN440, H
CIN450, H
CIN451, H
CIN452, H
CIN460, H
CIN470, H
CIN471, H
CIN472, H
CIN480, H
CIN490, Y
CIN491, H
CIN492, H
CJH332, H
CJS200, H
CJS201, H
CJS220, H
CJS230, H
CJS290, H
CJS330, H
CJS340, H
CJS383, H
CJS389, H
CJS390, H
CJS400, H
CJS401, H
CJS401, Y
CJS430, H
CJS440, H
CJS444, H
CJS490, H
CJS491, H
CJS498, Y
CJS499, H
CLA160, H
CLA201, H
CLA203, H
CLA204, H
CLA219, H
CLA230, H
CLA231, H
CLA232, H
CLA233, H
CLA236, H
CLA260, H
CLA299, Y
CLA303, H
CLA305, H
CLA308, H
CLA310, H
CLA319, H
CLA321, H
CLA322, H
CLA336, H
CLA362, H
CLA363, H
CLA364, H
CLA366, H
CLA367, H
CLA368, H
CLA369, H
CLA371, H
CLA372, H
CLA373, H
CLA378, H
CLA382, H
CLA383, H
CLA386, H
CLA387, H
CLA388, H
CLA389, H
CLA392, H
CLA398, H
CLA398, Y
CLA399, Y
CLA400, H
CLA401, H
CLA402, H
CLA403, H
COG250, Y
COG260, H
COG341, H
COG342, H
COG343, H
COG401, H
COG402, H
COG403, H
COG415, H
COG498, H
COG499, H
CRI205, H
CRI210, H
CRI215, H
CRI225, H
CRI300, H
CRI335, H
CRI340, H
CRI343, H
CRI350, H
CRI364, H
CRI365, H
CRI370, H
CRI380, H
CRI383, H
CRI385, H
CRI386, H
CRI389, Y
CRI390, H
CRI391, H
CRI392, H
CRI393, H
CRI394, H
CRI395, H
CRI396, H
CRI399, Y
CRI415, H
CRI420, H
CRI422, H
CRI425, H
CRI427, H
CRI428, H
CRI429, H
CRI431, H
CRI435, H
CRI445, H
CRI450, H
CRI480, H
CRI487, H
CRI490, H
CRI491, H
CRI498, H
CSB201, H
CSB202, H
CSB299, Y
CSB325, H
CSB327, H
CSB328, H
CSB329, H
CSB330, H
CSB331, H
CSB340, H
CSB343, H
CSB345, H
CSB346, H
CSB348, H
CSB349, H
CSB350, H
CSB351, Y
CSB352, H
CSB353, H
CSB397, Y
CSB398, Y
CSB399, Y
CSB426, H
CSB427, H
CSB428, H
CSB429, H
CSB430, H
CSB431, H
CSB432, H
CSB435, H
CSB443, H
CSB445, H
CSB447, H
CSB450, H
CSB452, H
CSB457, H
CSB458, H
CSB459, H
CSB460, H
CSB472, H
CSB473, H
CSB474, H
CSB475, H
CSB483, H
CSB490, H
CSB491, H
CSB492, H
CSB497, H
CSB498, Y
CSB499, Y
CSC104, H
CSC108, H
CSC120, H
CSC121, H
CSC148, H
CSC165, H
CSC204, H
CSC207, H
CSC209, H
CSC236, H
CSC240, H
CSC258, H
CSC263, H
CSC265, H
CSC300, H
CSC301, H
CSC302, H
CSC303, H
CSC304, H
CSC309, H
CSC310, H
CSC318, H
CSC320, H
CSC324, H
CSC336, H
CSC343, H
CSC358, H
CSC367, H
CSC369, H
CSC373, H
CSC384, H
CSC385, H
CSC396, Y
CSC399, Y
CSC401, H
CSC404, H
CSC410, H
CSC411, H
CSC412, H
CSC418, H
CSC420, H
CSC421, H
CSC428, H
CSC436, H
CSC438, H
CSC443, H
CSC446, H
CSC448, H
CSC454, H
CSC456, H
CSC458, H
CSC463, H
CSC465, H
CSC466, H
CSC469, H
CSC473, H
CSC485, H
CSC486, H
